,key,ticker,coin_buy_price,coin_buy_amount,usd_buy_total_amount,buy_time,usd_buy_fee,coin_buy_fee,usd_buy_amount_after_fee,coin_buy_amount_after_fee,coin_sell_price,coin_sell_amount,usd_sell_total_amount,sell_time,usd_sell_fee,coin_sell_fee,usd_sell_amount_after_fee,coin_sell_amount_after_fee,open,profit/loss,free_cash
0,0,BTCUSD,46199.83,0.0005411275322874565,25.000000000000004,2022-04-18 15:02:28,0.018750000000000003,4.058456492155924e-07,24.981250000000003,0.0005407216866382409,46263.47,0.0005407216866382409,25.01566152813766,2022-04-18 15:02:28,0.018761746146103243,4.055412649786807e-07,24.996899781991555,0.0005403161453732623,False,0.0,49.978149781991554
1,1,BTCUSD,46263.47,0.0005403831575971279,25.0,2022-04-18 15:02:28,0.01875,4.0528736819784597e-07,24.98125,0.00053997787022893,46407.32,0.00053997787022893,25.058925816632428,2022-04-18 15:02:28,0.01879419436247432,4.049834026716975e-07,25.040131622269953,0.0005395728868262583,False,0.0,49.99953140426151
2,2,BTCUSD,46050.0,0.0005428881650380022,25.0,2022-04-18 15:02:28,0.01875,4.0716612377850166e-07,24.98125,0.0005424809989142237,46018.11,0.0005424809989142237,24.963950280944626,2022-04-18 15:02:28,0.01872296271070847,4.068607491856678e-07,24.94522731823392,0.000542074138165038,False,0.0,49.92600872249543
3,3,BTCUSD,46018.11,0.0005432643800451605,25.0,2022-04-18 15:02:28,0.01875,4.074482850338704e-07,24.98125,0.0005428569317601266,46091.15,0.0005428569317601266,25.020900270295762,2022-04-18 15:02:28,0.01876567520272182,4.0714269882009494e-07,25.00213459509304,0.0005424497890613065,False,0.0,49.909393317588474
4,4,BTCUSD,46217.63,0.0005409191254506127,25.0,2022-04-18 15:02:28,0.01875,4.056893440879596e-07,24.98125,0.0005405134361065248,46192.76,0.0005405134361065248,24.967807430844033,2022-04-18 15:02:28,0.018725855573133027,4.0538507707989357e-07,24.9490815752709,0.0005401080510294449,False,0.0,49.83972489285938
5,5,BTCUSD,46192.76,0.0005412103541767152,25.000000000000004,2022-04-18 15:02:28,0.018750000000000003,4.0590776563253636e-07,24.981250000000003,0.0005408044464110827,46166.61,0.0005408044464110827,24.967107963726352,2022-04-18 15:02:28,0.018725330972794763,4.05603334808312e-07,24.948382632753557,0.0005403988430762744,False,0.0,49.76935752561293
6,6,BTCUSD,46166.61,0.0005415169101651605,25.0,2022-04-18 15:02:28,0.01875,4.061376826238704e-07,24.98125,0.0005411107724825366,45919.09,0.0005411107724825366,24.84731426159512,2022-04-18 15:02:28,0.01863548569619634,4.058330793619025e-07,24.828678775898922,0.0005407049394031747,False,0.0,49.57928630151186
7,7,BTCUSD,45387.24,0.0005508156036806821,25.0,2022-04-18 15:02:28,0.01875,4.131117027605116e-07,24.98125,0.0005504024919779216,45508.11,0.0005504024919779216,25.047777149205373,2022-04-18 15:02:28,0.01878583286190403,4.128018689834412e-07,25.02899131634347,0.0005499896901089382,False,0.0,49.589527617855325
8,8,BTCUSD,45508.11,0.0005493526318715499,25.0,2022-04-18 15:02:28,0.01875,4.120144739036624e-07,24.98125,0.0005489406173976462,45942.66,0.0005489406173976462,25.219792145290146,2022-04-18 15:02:28,0.01891484410896761,4.1170546304823464e-07,25.20087730118118,0.0005485289119345979,False,0.0,49.77165491903651
9,9,BTCUSD,45942.66,0.000544156563855902,24.999999999999996,2022-04-18 15:02:28,0.01875,4.0811742289192654e-07,24.981249999999996,0.0005437484464330101,46332.57,0.0005437484464330101,25.19326295674869,2022-04-18 15:02:28,0.018894947217561516,4.0781133482475753e-07,25.17436800953113,0.0005433406350981853,False,0.0,49.927272928567646
10,10,BTCUSD,46648.89,0.0005359184323571257,24.999999999999996,2022-04-18 15:02:28,0.01875,4.019388242678443e-07,24.981249999999996,0.0005355164935328579,46635.37,0.0005355164935328579,24.97400981700744,2022-04-18 15:02:28,0.01873050736275558,4.0163737014964344e-07,24.955279309644684,0.0005351148561627083,False,0.0,49.86380223821234
11,11,BTCUSD,46635.37,0.0005360737997790089,25.000000000000004,2022-04-18 15:02:28,0.018750000000000003,4.0205534983425673e-07,24.981250000000003,0.0005356717444291747,46651.39,0.0005356717444291747,24.989831461345755,2022-04-18 15:02:28,0.018742373596009318,4.0175380832188105e-07,24.971089087749746,0.0005352699906208528,False,0.0,49.81614132596208
12,12,BTCUSD,45829.36,0.0005455018355045761,25.0,2022-04-18 15:02:28,0.01875,4.091263766284321e-07,24.98125,0.0005450927091279476,45757.57,0.0005450927091279476,24.9421177944117,2022-04-18 15:02:28,0.018706588345808777,4.0881953184596073e-07,24.923411206065893,0.0005446838895961017,False,0.0,49.720802532027975
13,13,BTCUSD,45757.57,0.0005463576846410331,24.999999999999996,2022-04-18 15:02:28,0.01875,4.0976826348077484e-07,24.981249999999996,0.0005459479163775524,45914.55,0.0005459479163775524,25.06695290391295,2022-04-18 15:02:28,0.01880021467793471,4.094609372831643e-07,25.048152689235014,0.0005455384554402692,False,0.0,49.750205221262995
14,14,BTCUSD,45910.8,0.0005445341836779145,25.0,2022-04-18 15:02:28,0.01875,4.084006377584359e-07,24.98125,0.0005441257830401561,46040.24,0.0005441257830401561,25.051681641356712,2022-04-18 15:02:28,0.018788761231017536,4.0809433728011703e-07,25.032892880125694,0.000543717688702876,False,0.0,49.76434810138869
